Id,Label,Interlock_Count,AffiliationId,Board_Size
Andrews University,Andrews University,1,102298084,39
Auburn University,Auburn University,2,82497590,12
Boston College,Boston College,3,103531236,71
Boston University,Boston University,1,111088046,17
Brandeis University,Brandeis University,2,6902469,47
Brown University,Brown University,1,27804330,54
Carnegie Mellon University,Carnegie Mellon University,2,74973139,45
Catholic University Of America,Catholic University Of America,3,84470341,47
Chapman University,Chapman University,1,185071736,51
Clark Atlanta University,Clark Atlanta University,1,52064589,26
Cornell University,Cornell University,3,205783295,54
Dartmouth College,Dartmouth College,2,107672454,22
Drexel University,Drexel University,1,72816309,38
Duke University,Duke University,2,170897317,38
Emory University,Emory University,1,150468666,41
Fordham University,Fordham University,4,164389053,47
Georgetown University,Georgetown University,2,184565670,34
Howard University,Howard University,4,137853757,33
Illinois Institute Of Technology,Illinois Institute Of Technology,1,180949307,34
Johns Hopkins University,Johns Hopkins University,2,145311948,57
Loma Linda University,Loma Linda University,1,26347476,20
Loyola Marymount University,Loyola Marymount University,1,35566140,90
Loyola University Chicago,Loyola University Chicago,4,1925986,45
Marquette University,Marquette University,1,102461120,30
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,4,63966007,50
Mercer University,Mercer University,3,150149174,44
New School,New School,6,102179633,51
New York University,New York University,2,57206974,83
Pennsylvania State System of Higher Education,Pennsylvania State System of Higher Education,3,29957033,19
Pennsylvania State University,Pennsylvania State University,2,130769515,35
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,2,165799507,29
Rochester Institute Of Technology,Rochester Institute Of Technology,1,155173764,53
Seton Hall University,Seton Hall University,2,12524447,53
St Johns University,St Johns University,4,142823887,29
State University of New York System,State University of New York System,2,1327163397,17
Syracuse University,Syracuse University,1,70983195,67
Tennessee Board of Regents,Tennessee Board of Regents,2,94658018,17
Texas Christian University,Texas Christian University,1,128956969,44
University Of Chicago,University Of Chicago,5,40347166,47
University Of Connecticut,University Of Connecticut,1,140172145,20
University Of Delaware,University Of Delaware,1,86501945,33
University Of Pacific,University Of Pacific,1,119942576,29
University Of Pittsburgh,University Of Pittsburgh,3,170201317,57
University Of San Diego,University Of San Diego,2,160856358,32
University Of South Alabama,University Of South Alabama,3,83809506,17
University Of St Thomas Minnesota,University Of St Thomas Minnesota,5,161515732,43
University Of Tulsa,University Of Tulsa,1,87208437,50
University Of Virginia,University Of Virginia,2,51556381,13
University System of Georgia,University System of Georgia,3,1289702989,18
University System of New Hampshire,University System of New Hampshire,1,2800453862,26
University of Alabama System,University of Alabama System,3,2800507078,17
University of Massachusetts System,University of Massachusetts System,1,2802841742,25
University of Tennessee System,University of Tennessee System,2,2799495847,27
Vanderbilt University,Vanderbilt University,1,200719446,55
Washington University,Washington University,1,204465549,55
West Virginia University,West Virginia University,1,12097938,15
Yale University,Yale University,2,32971472,19
