Id,Label,Interlock_Count,AffiliationId,Board_Size
Adelphi University,Adelphi University,1,71965598,17
Andrews University,Andrews University,2,102298084,36
Auburn University,Auburn University,3,82497590,12
Boston University,Boston University,2,111088046,51
Brandeis University,Brandeis University,2,6902469,46
Brown University,Brown University,2,27804330,54
Carnegie Mellon University,Carnegie Mellon University,7,74973139,93
Case Western Reserve University,Case Western Reserve University,2,58956616,51
Catholic University Of America,Catholic University Of America,1,84470341,41
Clark Atlanta University,Clark Atlanta University,3,52064589,28
Columbia University,Columbia University,1,78577930,25
Dartmouth College,Dartmouth College,2,107672454,16
Duquesne University,Duquesne University,3,165102784,45
Emory University,Emory University,2,150468666,41
Fordham University,Fordham University,2,164389053,34
George Washington University,George Washington University,2,193531525,43
Georgetown University,Georgetown University,3,184565670,42
Hofstra University,Hofstra University,2,139290212,39
Howard University,Howard University,1,137853757,26
Illinois Institute Of Technology,Illinois Institute Of Technology,2,180949307,59
Johns Hopkins University,Johns Hopkins University,2,145311948,61
Lehigh University,Lehigh University,1,186143895,38
Loma Linda University,Loma Linda University,2,26347476,24
Loyola University Chicago,Loyola University Chicago,1,1925986,4
Marquette University,Marquette University,3,102461120,32
Marshall University,Marshall University,15,88694374,16
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,3,63966007,53
New Jersey Institute Of Technology,New Jersey Institute Of Technology,3,118118575,61
New School,New School,2,102179633,51
New York University,New York University,4,57206974,76
Oklahoma State System of Higher Education,Oklahoma State System of Higher Education,2,8692664,31
Pennsylvania State University,Pennsylvania State University,3,130769515,39
Princeton University,Princeton University,2,20089843,40
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,1,165799507,33
Rice University,Rice University,1,74775410,19
Seton Hall University,Seton Hall University,3,12524447,38
State University of New York System,State University of New York System,1,1327163397,39
Temple University,Temple University,3,84392919,40
Tennessee Board of Regents,Tennessee Board of Regents,3,169615421,39
Tufts University,Tufts University,3,121934306,35
University Of Chicago,University Of Chicago,4,40347166,48
University Of Connecticut,University Of Connecticut,1,140172145,17
University Of Delaware,University Of Delaware,2,86501945,31
University Of Notre Dame,University Of Notre Dame,3,107639228,54
University Of Pittsburgh,University Of Pittsburgh,5,170201317,51
University Of Rhode Island,University Of Rhode Island,1,17626003,16
University Of South Alabama,University Of South Alabama,3,83809506,19
University Of St Thomas Minnesota,University Of St Thomas Minnesota,2,161515732,38
University Of Tulsa,University Of Tulsa,2,87208437,36
University System of Georgia,University System of Georgia,1,1289702989,16
University System of New Hampshire,University System of New Hampshire,1,2800453862,23
University System of Ohio,University System of Ohio,1,2802096936,108
University of Alabama System,University of Alabama System,2,2800507078,16
University of North Carolina System,University of North Carolina System,2,4210158053,104
University of North Texas System,University of North Texas System,1,2802090120,9
University of Tennessee System,University of Tennessee System,2,2799495847,36
Villanova University,Villanova University,1,7863295,26
Wake Forest University,Wake Forest University,1,47251452,42
West Virginia University,West Virginia University,15,12097938,18
Worcester Polytechnic Institute,Worcester Polytechnic Institute,1,107077323,38
Yale University,Yale University,1,32971472,19
Yeshiva University,Yeshiva University,3,19772626,98
