Name,Position,Institution,SubInstitution,Education,Other Affiliation,Career,Notes,AffiliationId,carnegie_id,PrimarySample,FixedPosition
Timothy C Forbes,Fellow,Brown University,Board of Fellows,,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011",,,27804330.0,217156.0,True,Trustee
Carolyn Rafkin,Executive Secretary,Brown University,,,,,,27804330.0,217156.0,True,Other Board Member
E Gordon Gee,President,Brown University,,,,,,27804330.0,217156.0,True,Board President
Barbara L Chase,Fellow,Brown University,Board of Fellows,Brown 1976 AB,"President, American Heritage Forbes Bldg., 60 5th Ave., New York, NY 10011",,,27804330.0,217156.0,True,Trustee
Frederick Lippitt,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Steven R Jordan,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Henry D Sharpe,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Wendy J Strothman,Secretary,Brown University,Board of Fellows,,"Executive Vice President, Trade and Reference Division, Houghton Mifflin Company 222 Berkeley St., Boston, MA 02116-3764",,,27804330.0,217156.0,True,Other Board Member
Charles C Tillinghast,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
Alva O Way,Fellow,Brown University,Board of Fellows,,"Chairman, IBJ Schroder Bank & Trust Company 1 State St., New York, NY 10004",,,27804330.0,217156.0,True,Trustee
Artemis Aw Joukowsky,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
John P Birkelund,Fellow,Brown University,Board of Fellows,,"Senior Advisor, Warburg Dillon Read. LLCSwiss Bank Ctr. 1, 677 Washington Blvd., Stamford, CT 06901",,,27804330.0,217156.0,True,Trustee
Eleanor Mcmahon Os,Fellow,Brown University,Board of Fellows,,,,,27804330.0,217156.0,True,Trustee
John J Britton,Trustee,Clemson University,,,,,,8078737.0,217882.0,True,Member
Allen P Wood,Trustee,Clemson University,,,"President, Wilkins, Wood Goforth, Assoc., LtdP.O. Box 3868, Florence, SC 29502",,,8078737.0,217882.0,True,Member
Joseph D Swann,Vice Chairman,Clemson University,,,"Vice President and General Manager, Dodge/Rockwell AutomationP.O. Box 499, Ponders Ct., Greensville, SC 29602",,,8078737.0,217882.0,True,Board Vice President
William C Smith,Trustee,Clemson University,,,"Chief Executive Officer, Holmes Smith Developments, IncP.O. Box 11334, Columbia, SC 29211",,,8078737.0,217882.0,True,Member
Thomas B Mcteer,Trustee,Clemson University,,,"President, MeTeer Real Estate, IncPO. Box 11923, Columbia, SC 29211",,,8078737.0,217882.0,True,Member
Ellison Smyth Mckissick,Trustee,Clemson University,,,"President and Treasurer, Alice Manufacturing Company, IncP.O. Box 369, Easley, SC",,,8078737.0,217882.0,True,Member
Bill L Amick,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Amick Farms",,,8078737.0,217882.0,True,Member
Harold D Kingsmore,Trustee,Clemson University,,,"Kingsmore Enterprises1359 Silver Bluff Rd., Ste., A-7, Aiken, SC 29803",,,8078737.0,217882.0,True,Member
Louis B Lynn,Trustee,Clemson University,,,"President, ENVIRO AgScience, IncP.O. Box 23285, Columbia, SC 29224",,,8078737.0,217882.0,True,Member
Leon J Hendrix,Trustee,Clemson University,,,"Clayton, Dubilier & Rice, Inc375 Park Ave., 18th Fl., New York, NY 10152",,,8078737.0,217882.0,True,Member
Lawrence M Gressette,Chairman,Clemson University,,,"Executive Committee Chairman, SCANA Corporation",,,8078737.0,217882.0,True,Board President
Patricia Herring Mcabee,Trustee,Clemson University,,,"Piedmont Technical CollegeP.O. Box 1467, Greenwood, SC 29648-1467",,,8078737.0,217882.0,True,Member
Leslie G Mccraw,Trustee,Clemson University,,,"Chairman and Chief Executive Officer, Fluor Corporation100 Fluor Daniel Dr., C107E, Greenville, SC 29607-2762",,,8078737.0,217882.0,True,Member
Elizabeth K Lanier,Chairperson,Cleveland State University,,Smith BA; Columbia JD,Vice President and Chief of StaffCinergy Corp,,,102607778.0,202134.0,True,Board President
Merle G Kearns,Ex Officio Regent,Cleveland State University,,,"Member, Ohio Senate",,,102607778.0,202134.0,True,"Trustee, Ex Officio"
Stephen A Perry,Regent,Cleveland State University,,,"Vice President, Human Resources and Logistics, The Timken Company",,,102607778.0,202134.0,True,Trustee
Gerald M Miller,Regent,Cleveland State University,,Dayton BA,"Chairman and Managing Partner, Miller-Valentine Group",,,102607778.0,202134.0,True,Trustee
Tahlman Krumm,Vice Chairman,Cleveland State University,,South Florida BA; Ohio State PhD,"Founder and Chairman, Avalanche Creek Projects Group",,,102607778.0,202134.0,True,Board Vice President
Jeanette G Grasselli Brown,Regent,Cleveland State University,,Ohio BS; Case Western MS,Chairperson of the Board of Trustees,,,102607778.0,202134.0,True,Trustee
Gerald H Gordon,Regent,Cleveland State University,,,"President and Chief Operating Officer, Sun Media Corporation",,,102607778.0,202134.0,True,Trustee
Michael A Fox,Ex Officio Regent,Cleveland State University,,,,,,102607778.0,202134.0,True,"Trustee, Ex Officio"
J Gilbert Reese,Regent,Cleveland State University,,,"Senior Partner, Reese, Pyle, Drake and Meyer",,,102607778.0,202134.0,True,Trustee
Ralph E Schey,Regent,Cleveland State University,,,"Chairmain and Chief Executive Officer, The Scott Fetzer Company",,,102607778.0,202134.0,True,Trustee
Thomas W Noe,Regent,Cleveland State University,,,"President, Vintage Coins and Cards",,,102607778.0,202134.0,True,Trustee
Charles R Franklin,Secretary,East Carolina University,,,,,,186335123.0,,True,Other Board Member
Willie C Martin,Trustee,East Carolina University,,,,,,186335123.0,,True,Governor
Robert A Ward,Trustee,East Carolina University,,,,,,186335123.0,,True,Governor
H E Rayfield,Chairman,East Carolina University,,,,,,186335123.0,,True,Board President
Lyda T Mihalyi,Trustee,East Carolina University,,,,,,186335123.0,,True,Governor
